"date","world_us_sim","north_america_us_sim","europe_us_sim","pacific_us_sim","emerging_us_sim","world_eu_sim","north_america_eu_sim","europe_eu_sim","pacific_eu_sim","emerging_eu_sim"
2008-05-24,4736.07813807618,2742.3035646234,6635.39366536851,2769.61752462552,717.541001977469,5554.1791759698,2945.69361351727,12698.7519670257,3670.38311009942,3820.1433754051
2008-05-25,4719.64062033475,2740.26113218872,6623.62942928277,2711.8235573059,715.516452791027,5536.52329757212,2944.17728659162,12680.4288210819,3605.20754694628,3782.30767978724
2008-05-26,4711.60119233087,2739.63019099214,6613.0543284354,2684.5132736418,714.521759762343,5526.23634262129,2943.58472324595,12658.9657949867,3563.76855430006,3768.30561556375
2008-05-27,4719.6881235421,2760.93759038925,6518.95668963198,2729.32298392138,715.704743325174,5574.05440175284,2987.00942880783,12566.4823607247,3648.22154499279,3786.28682591825
2008-05-28,4765.76960849934,2808.67213753124,6607.24054074616,2662.65456077579,717.974423997992,5657.45920367942,3054.2027590545,12802.4322876621,3578.20380012265,3853.16959592544
2008-05-29,4831.95236836432,2856.26499784707,6608.06986980976,2754.03393671637,723.122418967782,5766.60431455199,3122.46601722086,12873.7162557177,3720.30682796067,3941.94137465363
2008-05-30,4880.80195555477,2874.21701542621,6675.50854883158,2817.60517915514,728.481988946854,5802.5442878093,3130.01528615148,12955.4821966111,3791.58975923437,3991.0953824865
2008-05-31,4869.97375463578,2865.08113811083,6637.22287814425,2855.87732904336,727.01548502703,5785.94806323523,3115.46695960986,12886.6619155273,3845.65587641562,3988.39957119359
2008-06-01,4844.13130716765,2843.99402341299,6544.84061166164,2887.03551558476,723.352787762545,5752.66235293922,3092.59705574442,12725.7200884763,3892.24577423913,3985.40119598803
2008-06-02,4813.54498695547,2819.51676072417,6506.44377482204,2902.58469569383,718.986784985985,5735.45352227025,3077.27133880593,12655.3171961364,3914.57279551985,3982.22184043972
2008-06-03,4748.48299818115,2773.86905294435,6524.1866820785,2788.2683275842,712.579956382266,5734.10094474061,3068.25659092857,12860.1166723287,3811.48575671176,3903.55382375459
2008-06-04,4761.7210289561,2790.12715614237,6408.86713949962,2891.50793287089,708.845915368662,5711.75787635551,3065.67766391189,12549.1485856976,3926.19135498918,3797.21298372404
2008-06-05,4871.08658849957,2910.36843610453,6492.64724994356,2823.81783284775,722.139775715751,5753.06876191108,3148.97395723952,12517.3245251596,3774.31031875572,3824.92194788398
2008-06-06,4669.80921401773,2718.97144453856,6318.7275263973,2856.47785665844,701.089289140935,5442.14408043907,2901.85746610708,12023.1416798053,3769.96229915892,3717.9053590043
2008-06-07,4627.60644968499,2704.2917941763,6261.67090540712,2822.97518605038,698.54132404688,5421.67186072433,2902.19858784668,11982.3689673144,3728.0574531375,3682.74235926092
2008-06-08,4594.69682845038,2693.18901621602,6216.82533891468,2762.31813865479,696.501775049078,5402.05464609059,2902.68420395324,11948.9115023175,3667.45037016954,3657.69434803476
2008-06-09,4567.49488685362,2687.12588334702,6180.52818524435,2696.90421775424,693.948964380158,5389.22398153404,2903.65195721957,11907.5156243932,3603.87049016636,3622.90569207523
2008-06-10,4519.08425828377,2709.23105403007,5999.67316348552,2604.28425187718,675.366152026762,5414.20883070462,2971.76812381735,11741.0854138436,3535.10041121135,3553.92166079579
2008-06-11,4424.83313777044,2631.97195325962,5844.21756410383,2647.49031211759,660.857598419909,5260.25293256093,2864.62311530155,11348.5236423762,3566.44112292915,3487.46089008966
2008-06-12,4417.14359462177,2654.81262458034,5892.67351932937,2492.659738312,655.556303342793,5296.81764049971,2914.44281720951,11541.7678186604,3388.65603478184,3488.8508851868
2008-06-13,4517.47239906823,2746.60868590264,5923.35395871037,2540.92809819569,666.888753290754,5441.20820059821,3028.48967841196,11654.8135467169,3469.72586653874,3504.02428747626
2008-06-14,4528.22701986827,2745.14323045561,5921.1905051153,2566.08410645693,669.90599141272,5433.69224955355,3019.98308967138,11638.4544522497,3494.78149595756,3513.53910538305
2008-06-15,4527.69037370599,2739.34686503093,5922.99767622116,2584.00592507584,672.216825590456,5424.85310918936,3008.94348545981,11614.927180978,3514.08692357047,3520.65648901817
2008-06-16,4527.67559973526,2735.64424595042,5938.31167182777,2600.96612139073,673.744376031218,5413.05427496405,2994.03935972095,11598.6186524348,3525.62910948983,3530.23955432228
2008-06-17,4529.24204116743,2709.38323490787,6019.45160590159,2617.33573065057,674.754096267813,5390.49324798548,2951.83328762031,11704.7689748274,3531.87113980261,3578.35877230626
2008-06-18,4451.1841281514,2658.63635153768,5844.75108288222,2652.32755566258,663.789390227846,5294.47221210973,2894.85118993021,11358.5902758901,3577.09242692415,3541.02403147059
2008-06-19,4414.08386605737,2670.18852157672,5770.72871661568,2539.72126409708,657.772507130843,5264.98453940319,2915.50181421622,11246.4708098858,3435.02653094726,3479.46544786898
2008-06-20,4258.33747414007,2550.35994863298,5626.06742667262,2478.97856864223,639.841009283807,5025.5256117144,2754.99455819049,10850.133765808,3317.84403847332,3315.46741614651
2008-06-21,4252.15623438874,2555.68651312852,5584.12448839187,2459.8916591307,637.934721789069,5041.45500773321,2771.68713745692,10846.7637119022,3316.71032833868,3314.32328113483
2008-06-22,4253.55591903321,2564.42859526217,5560.18566434326,2447.68424727265,636.405831779848,5061.87906990958,2795.71853876273,10843.6286879961,3315.67815426509,3313.21873218687
2008-06-23,4246.82584202003,2569.48110375839,5547.73494658137,2444.41170711176,634.490739441327,5077.40774651135,2811.88132093288,10840.2380258412,3314.52901499006,3312.07241609128
2008-06-24,4213.87379348284,2535.77164859288,5524.26416131351,2452.34064373585,631.545051729407,4983.44256178664,2744.85951907548,10678.0876547982,3289.55276808865,3217.35142529547
2008-06-25,4249.57879291714,2560.6838093899,5623.28624711517,2411.76212794456,638.128877031398,5052.68058064603,2786.74707622554,10928.0927773422,3252.68086717979,3315.50674830918
2008-06-26,4067.08880766156,2401.97594257683,5420.03780268818,2433.15885851528,615.958752223139,4760.92702982373,2572.99322963626,10371.4887775913,3232.89136163635,3199.65335875788
2008-06-27,4029.22371298335,2386.77037573404,5371.1739211498,2384.2326768441,610.890984125532,4720.26024437761,2558.71112737038,10286.1998449661,3170.36116426153,3111.94362690498
2008-06-28,4034.61478189108,2386.44296981535,5391.69212078943,2382.22577915337,611.931962283123,4727.21986449043,2558.04887238508,10327.9007526953,3168.01814675517,3115.35658729191
2008-06-29,4044.69064031668,2388.26406588559,5425.1518271493,2380.56442968169,613.633117652528,4738.86269344952,2560.00060231221,10390.3678357621,3165.89345812796,3119.1563992106
2008-06-30,4050.33354240709,2391.10623864333,5447.24980986958,2378.56132045296,614.704695111118,4745.98374084093,2563.91220276431,10434.612617093,3163.50077612407,3122.5441044408
2008-07-01,3992.80976732753,2400.90048971527,5207.46739079549,2350.00508175404,606.432978669034,4682.39622284299,2576.44148618418,9983.37007230901,3127.98309876429,3017.10858364626
2008-07-02,3886.68474304635,2302.03454927484,5186.59351938091,2292.63030020624,591.3664186297,4501.92064818765,2439.70561821286,9822.95484460752,3014.14747056588,2911.70089438881
2008-07-03,3852.62578195008,2292.43163320713,5148.91155088559,2229.17908956238,589.098066453898,4570.91008874555,2488.45752860967,9988.61952926494,3002.49440983209,2836.09883916861
2008-07-04,3871.96602573367,2319.74853932779,5074.97051226321,2281.10718354949,584.060152237819,4544.74641801738,2491.16628124648,9740.40462072372,3039.51483980952,2826.6914079774
2008-07-05,3867.64964979446,2308.19598050476,5108.05940135962,2280.24570756518,583.122121881233,4544.56611878341,2480.57098184582,9806.58792946521,3040.31859365404,2840.43356947317
2008-07-06,3864.45965648096,2289.80680812871,5163.08896864166,2279.04303604279,582.380837777292,4546.05807637875,2462.77260537784,9926.97056540245,3040.95453695447,2865.63503295742
2008-07-07,3864.51497321586,2278.03768796978,5195.96231520256,2277.63187308474,582.189529150162,4545.95076740143,2451.75955044244,9993.93098558148,3041.53796517095,2880.34164370973
