date,na_model,eu_model,pc_model,em_model
1975-01-01,1,1,1,
1975-01-02,1.00573470648059,1.00926061916388,1.00452912634778,
1975-01-03,1.01288911879723,1.01999867829363,1.01046392227057,
1975-01-04,1.01308475938749,1.02379211837945,1.00944089920197,
1975-01-05,1.01260521850729,1.02691731081561,1.00774612123963,
1975-01-06,1.01272608181967,1.03066070317262,1.00665148587347,
1975-01-07,1.01351744179841,1.03510009719009,1.00622450003602,
1975-01-08,1.00796541855497,1.0330795172604,0.999499343079093,
1975-01-09,1.01763299215451,1.04663051277017,1.00788074050905,
1975-01-10,1.03362771294446,1.06677133200544,1.02250709857534,
1975-01-11,1.034570871321,1.07150607564114,1.02220739543711,
1975-01-12,1.03471475890499,1.07543313701665,1.02111721058769,
1975-01-13,1.03343116841059,1.07789091765598,1.01861944958228,
1975-01-14,1.02788404261713,1.07590569550039,1.01192380095547,
1975-01-15,1.03119210206838,1.08316185352035,1.01396054001641,
1975-01-16,1.03576053424992,1.09177965847658,1.01723022149844,
1975-01-17,1.0314825803697,1.09111985114095,1.0118024499673,
1975-01-18,1.02955774428274,1.09293092004891,1.00869452978103,
1975-01-19,1.02876909521464,1.0959473056388,1.00670580000885,
1975-01-20,1.02876223063441,1.0998042073094,1.00548541813642,
1975-01-21,1.02953768381044,1.10451102361183,1.00503113263611,
1975-01-22,1.03913318551476,1.11869970159856,1.01318658270671,
1975-01-23,1.04494078538703,1.12889642735191,1.01762769228496,
1975-01-24,1.06207337605597,1.15138592419283,1.0330856325064,
1975-01-25,1.07272616162142,1.16699421679384,1.04220219831506,
1975-01-26,1.08147900660959,1.18063095605316,1.04944952658469,
1975-01-27,1.09200108055,1.19628051440692,1.05839477941365,
1975-01-28,1.10530876333226,1.21507698025748,1.07001693893096,
1975-01-29,1.11860372970517,1.23397652512052,1.08159741409654,
1975-01-30,1.11807606507195,1.23774533063466,1.07978325362523,
1975-01-31,1.12131321522289,1.24569313951327,1.08160776989105,
1975-02-01,1.12359665966887,1.2514845579577,1.08670923117556,
1975-02-02,1.12570839024587,1.25710646395825,1.09166417988409,
1975-02-03,1.12651960373594,1.26129687282556,1.0953766860605,
1975-02-04,1.11782607080091,1.25485869718255,1.08985926390141,
1975-02-05,1.13038217450536,1.27223266866174,1.10502221572884,
1975-02-06,1.13043401319014,1.27561504019617,1.10803451877689,
1975-02-07,1.1367161986252,1.28603690826072,1.11716192380253,
1975-02-08,1.13837650571793,1.2912754104447,1.12178783320537,
1975-02-09,1.13902250759885,1.2953819604728,1.12543098316256,
1975-02-10,1.13932445847045,1.29910987269766,1.12874565692146,
1975-02-11,1.13936026890977,1.3025449565175,1.13180634463722,
1975-02-12,1.15179255659643,1.32016108270721,1.14718961952063,
1975-02-13,1.16915138223655,1.34350666649261,1.16755371605925,
1975-02-14,1.17286333371044,1.35128242936297,1.17438981635941,
1975-02-15,1.17199333759326,1.3538106521564,1.17666623100257,
1975-02-16,1.16930606398857,1.35424365872309,1.17712188707841,
1975-02-17,1.16544513804441,1.35331039023839,1.17639001953189,
1975-02-18,1.15558842017688,1.34540067113938,1.16959363956145,
1975-02-19,1.16298054105937,1.35752218918036,1.18021003825097,
1975-02-20,1.17158516228522,1.37111304657412,1.1921052786395,
1975-02-21,1.17648613361005,1.38043105982074,1.20028711284018,
1975-02-22,1.17504377915241,1.38234539508734,1.20203253048551,
1975-02-23,1.1714204462081,1.38169455737988,1.20154760549676,
1975-02-24,1.1666353501125,1.37966054398719,1.19985977403889,
1975-02-25,1.15439518049148,1.36879005479124,1.19048682497565,
1975-02-26,1.16294661114583,1.38250596971237,1.20249629773999,
1975-02-27,1.1739193451483,1.39916245346674,1.21706506705054,
1975-02-28,1.182429649336,1.41296131658061,1.22915007447716,
1975-03-01,1.1865194185101,1.41548149388726,1.23351716016306,
1975-03-02,1.19061204213794,1.41799269618832,1.23788802338749,
1975-03-03,1.19470752178099,1.42049494255111,1.2422626667276,
1975-03-04,1.19880585900138,1.42298825200896,1.24664109276202,
1975-03-05,1.19437028932635,1.41533946170563,1.24214590056189,
1975-03-06,1.20579114485067,1.42650234252956,1.25414054210632,
1975-03-07,1.21111805159147,1.43041466563773,1.25979911872608,
1975-03-08,1.21482591943826,1.43239772695991,1.26377463101089,
1975-03-09,1.21767311743024,1.43335533938073,1.26685553095055,
1975-03-10,1.21856886106377,1.43200862832338,1.2679067245951,
1975-03-11,1.21168532622626,1.42152054169334,1.26086385612491,
1975-03-12,1.20479652629853,1.41105747533619,1.25381416767387,
1975-03-13,1.20401817663285,1.4077821104144,1.25312219321588,
1975-03-14,1.21058066183269,1.41309693311102,1.260070296747,
1975-03-15,1.21489471713991,1.41576550205871,1.26467934622454,
1975-03-16,1.21820598757636,1.41725260952013,1.26824537334225,
1975-03-17,1.2192716353401,1.41611823708408,1.26947419530183,
1975-03-18,1.21236938159272,1.4057294020911,1.26240726365826,
1975-03-19,1.20668770253527,1.39678671915785,1.25660993747965,
1975-03-20,1.1973227256206,1.38360654769673,1.24697582522305,
1975-03-21,1.19285770006293,1.37612906028445,1.24244303345986,
1975-03-22,1.18566367442882,1.36552448943042,1.23506693492847,
1975-03-23,1.17514452069829,1.35112213238398,1.22422575542711,
1975-03-24,1.16838862955549,1.34109118814254,1.21730295390703,
1975-03-25,1.17373434034872,1.3449805058663,1.22298706693414,
1975-03-26,1.19137424335739,1.362940973815,1.24148232326813,
1975-03-27,1.19796152397041,1.36819371312416,1.2484635403857,
1975-03-28,1.19840379459905,1.3664068732738,1.24904199459061,
