"date","sim_price","sim_gdtr_l1","sim_ndtr_l1","sim_gdtr_l2","sim_ndtr_l2","letf_acwi_usd_sim","letf_acwi_eur_sim"
1988-01-01,100,100,100,100,100,100,100
1988-01-02,99.99004821926,99.994657410596,99.9936812652841,99.96837,99.96642,99.9631607745208,99.9514330563118
1988-01-03,99.9641107088297,99.9733491761127,99.9713624596211,99.90454,99.90062,99.8941048950058,99.871967841531
1988-01-04,99.9164032726736,99.9303081990732,99.9273530266,99.79709,99.7912,99.7814362568065,99.7476177730726
1988-01-05,99.6753977288649,99.6948408187912,99.6907145639075,99.30528,99.29709,99.2841224993875,101.134868724592
1988-01-06,101.19943539352,101.228619547375,101.222434981698,102.34053,102.3281,102.311500777411,106.935410325927
1988-01-07,102.012642806109,102.051554331132,102.043316219786,103.98362,103.96695,103.946750367739,107.677088169185
1988-01-08,99.1237994158198,99.1704180410547,99.1605690260797,98.09137,98.0719,98.0494578519942,102.438568410358
1988-01-09,99.1022600995573,99.1534480719982,99.1426474685523,98.03805,98.01667,97.9910448375626,102.077358140854
1988-01-10,99.0849459197787,99.1407024759589,99.1289384008354,97.99299,97.9697,97.9408933681474,101.425057694946
1988-01-11,99.0626123371391,99.1229456138894,99.1102039066778,97.93796,97.91276,97.8807779960137,101.056579443384
1988-01-12,98.9930652894065,99.0580372941731,99.0443190879738,97.79017,97.76305,97.7279267416962,100.89876883704
1988-01-13,98.6783033284483,98.7491403711526,98.7341837635862,97.16086,97.13142,97.0933384934481,99.675305181319
1988-01-14,99.2219550225231,99.3008766195242,99.2842092971867,98.22691,98.19394,98.1522774292578,101.425171536698
1988-01-15,98.5885139200785,98.6753484434738,98.6570656387206,96.96942,96.93345,96.8891232367789,99.7473100615
1988-01-16,98.8352960863479,98.9277029619688,98.9082261057601,97.44563,97.40723,97.3595287466097,101.028612182357
1988-01-17,99.4114134946235,99.5123023474882,99.4910277662201,98.57739,98.53524,98.4838131827426,103.698590979834
1988-01-18,99.6553490944231,99.7618509711606,99.7393799067192,99.0516,99.00697,98.9520871712171,105.040414461874
1988-01-19,99.1934295709313,99.3066747785673,99.2828051339165,98.12741,98.08023,98.0226358221263,104.291443603641
1988-01-20,98.4861813892505,98.6074478595371,98.5819429037653,96.7257,96.67561,96.6156458572747,101.412863995926
1988-01-21,98.3676032598248,98.4935658036176,98.4670601772645,96.48319,96.43122,96.3682585211953,101.095407202843
1988-01-22,99.2056811706551,99.342136733429,99.3134011125407,98.12694,98.0702,98.0030275462238,103.335430619731
1988-01-23,99.9717182902583,100.118396336889,100.087538494397,99.64121,99.57978,99.508379430991,104.964198443241
1988-01-24,100.697305067721,100.854048119336,100.821029044748,101.0855,101.0194,100.943723994007,106.512452109746
1988-01-25,101.180535426425,101.345307498117,101.3106016544,102.0498,101.97999,101.900304409897,107.565638816167
1988-01-26,101.135711991445,101.305134539033,101.269437499584,101.94847,101.8767,101.793773958424,107.653553993104
1988-01-27,100.698191800866,100.873989644902,100.83699216403,101.06088,100.98678,100.901260650778,106.83987851005
1988-01-28,101.978286989549,102.166295757052,102.126716127702,103.63018,103.54999,103.459011429928,108.91160464374
1988-01-29,102.375032358493,102.570375673078,102.529230614602,104.42914,104.34548,104.250430553419,110.378012467375
1988-01-30,102.189817260514,102.390146111537,102.347945746087,104.04104,103.95541,103.857318115881,110.407208030819
1988-01-31,101.740103660622,101.94679402185,101.903269409416,103.11884,103.03093,102.930325507116,109.798787648747
1988-02-01,101.545543052863,101.757204574996,101.712635769655,102.71415,102.62431,102.520747819588,109.515567394989
1988-02-02,101.689171165951,101.906061954572,101.86040547801,102.9941,102.90189,102.794706320486,109.6112389949
1988-02-03,101.194865420573,101.418271117361,101.371276288338,101.98813,101.89366,101.784176192087,108.338656272242
1988-02-04,101.14230937627,101.370343120557,101.322352283872,101.8719,101.77552,101.662845756635,108.714427656326
1988-02-05,100.819726349437,101.053256297888,101.004124544848,101.21474,101.11638,101.001122059864,107.804047218355
1988-02-06,100.65994443667,100.898238374329,100.848114615196,100.8845,100.7843,100.666128728375,107.626267776193
1988-02-07,100.543204328443,100.786157889255,100.735042520281,100.6407,100.53867,100.417505797527,107.695559481183
1988-02-08,100.465618331031,100.713163208444,100.661065286941,100.47533,100.37145,100.247214489816,107.705022854675
1988-02-09,100.413105464627,100.66523521164,100.612178234139,100.3616,100.25586,100.128500279443,107.647959694534
1988-02-10,101.73432518282,101.999660807696,101.943805385927,103.00523,102.89254,102.758567367597,109.697278915367
1988-02-11,101.976059707174,102.247480337511,102.190309943176,103.4859,103.37034,103.232396108192,110.212522535437
